2026/01/05 09:07:08 [alert] 478#478: *132594 512 worker_connections are not enough while connecting to upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "158.160.200.218"
2026/01/05 09:32:52 [error] 477#477: *132605 open() "/var/www/html/.git/credentials" failed (2: No such file or directory), client: 94.26.88.31, server: localhost-nginx-proxy-manager, request: "GET /.git/credentials HTTP/1.1", host: "158.160.200.218"
2026/01/05 09:35:46 [error] 477#477: *132607 open() "/var/www/html/GponForm/diag_Form" failed (2: No such file or directory), client: 36.255.4.128, server: localhost-nginx-proxy-manager, request: "POST /GponForm/diag_Form?images/ HTTP/1.1", host: "127.0.0.1:80"
2026/01/05 09:46:37 [warn] 478#478: 512 worker_connections are not enough, reusing connections
2026/01/05 09:46:37 [warn] 477#477: 512 worker_connections are not enough, reusing connections
2026/01/05 09:46:37 [alert] 477#477: *133625 512 worker_connections are not enough while connecting to upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "158.160.200.218"
2026/01/05 11:09:06 [error] 483#483: *133654 open() "/var/www/html/portal/redlion" failed (2: No such file or directory), client: 20.80.105.86, server: localhost-nginx-proxy-manager, request: "GET /portal/redlion HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:17 [error] 482#482: *133655 open() "/var/www/html/dump.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /dump.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:17 [error] 482#482: *133656 open() "/var/www/html/database.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /database.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:18 [error] 482#482: *133657 open() "/var/www/html/data.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /data.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:19 [error] 482#482: *133658 open() "/var/www/html/setup.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /setup.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:19 [error] 482#482: *133659 open() "/var/www/html/db_backup.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /db_backup.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:20 [error] 482#482: *133660 open() "/var/www/html/db.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /db.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:20 [error] 482#482: *133661 open() "/var/www/html/db.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /db.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:21 [error] 482#482: *133662 open() "/var/www/html/mysql.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /mysql.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:21 [error] 482#482: *133663 open() "/var/www/html/dump.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /dump.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:22 [error] 482#482: *133664 open() "/var/www/html/backup.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /backup.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:22 [error] 482#482: *133665 open() "/var/www/html/.env.shared" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.env.shared HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:23 [error] 482#482: *133666 open() "/var/www/html/.env.local.php" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.env.local.php HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:24 [error] 482#482: *133667 open() "/var/www/html/.env.backup" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.env.backup HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:24 [error] 482#482: *133668 open() "/var/www/html/.env.dev.local" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.env.dev.local HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:25 [error] 482#482: *133669 open() "/var/www/html/docker-compose.yml" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /docker-compose.yml HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:26 [error] 482#482: *133670 open() "/var/www/html/docker-compose.env" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /docker-compose.env HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:26 [error] 483#483: *133671 open() "/var/www/html/compose.env" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /compose.env HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:27 [error] 483#483: *133672 open() "/var/www/html/.config" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.config HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:28 [error] 483#483: *133673 open() "/var/www/html/config/api.php" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /config/api.php HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:28 [error] 483#483: *133674 open() "/var/www/html/config/stripe.php" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /config/stripe.php HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:29 [error] 483#483: *133675 open() "/var/www/html/.npmrc" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.npmrc HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:30 [error] 483#483: *133676 open() "/var/www/html/auth.json" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /auth.json HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:30 [error] 483#483: *133677 open() "/var/www/html/storage/logs/stripe.log" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /storage/logs/stripe.log HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:31 [error] 483#483: *133678 open() "/var/www/html/.env" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:31 [error] 483#483: *133679 open() "/var/www/html/.env.local" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.env.local HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:32 [error] 483#483: *133680 open() "/var/www/html/.env.dev" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.env.dev HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:32 [error] 483#483: *133681 open() "/var/www/html/.env.production" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.env.production HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:33 [error] 483#483: *133682 open() "/var/www/html/.env.bak" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.env.bak HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:33 [error] 483#483: *133683 open() "/var/www/html/.env.old" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /.env.old HTTP/1.1", host: "158.160.200.218"
